Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Year
Glen Rice,29,CHH,SF,79,78,3362,11.6,24.4,.477,3.3,7.1,.470,8.3,17.3,.480,.546,7.5,8.6,.867,1.1,4.0,5.1,2.6,1.2,0.4,2.9,3.1,34.1,117,112,"MVP-5,AS,NBA2",1996-1997
Latrell Sprewell,26,GSW,SG,80,79,3353,10.1,22.5,.449,2.3,6.5,.354,7.8,16.0,.488,.500,7.7,9.1,.843,0.9,4.8,5.7,7.9,2.1,0.7,5.0,2.4,30.2,111,113,AS,1996-1997
Juwan Howard,23,WSB,SF,82,82,3324,10.0,20.5,.486,0.0,0.0,.000,10.0,20.5,.487,.486,4.6,6.1,.756,3.2,7.0,10.2,4.9,1.5,0.4,3.8,4.0,24.5,105,106,,1996-1997
Damon Stoudamire,23,TOR,PG,81,81,3311,9.0,22.5,.401,2.8,7.9,.355,6.2,14.6,.426,.463,5.3,6.4,.823,1.4,3.9,5.3,11.3,2.0,0.2,4.6,2.6,26.2,109,111,,1996-1997
Gary Payton,28,SEA,PG,82,82,3213,11.7,24.5,.476,2.0,6.3,.313,9.7,18.2,.533,.517,4.2,5.9,.715,1.8,4.5,6.3,9.6,3.3,0.2,3.6,3.4,29.5,114,103,"MVP-6,DPOY-2,AS,NBA2",1996-1997
Kendall Gill,28,NJN,SF,82,81,3199,10.5,23.6,.443,1.2,3.6,.336,9.3,20.0,.462,.469,6.9,8.7,.797,3.0,5.1,8.1,5.3,2.5,0.7,3.5,3.7,29.1,112,109,,1996-1997
Chris Mills,27,CLE,SF,80,79,3167,7.4,16.3,.453,1.6,4.0,.391,5.8,12.3,.473,.501,3.2,3.8,.842,2.2,6.9,9.1,3.6,1.6,0.7,2.2,4.1,19.6,111,103,,1996-1997
Jerry Stackhouse,22,PHI,SG,81,81,3166,8.5,20.8,.407,1.6,5.4,.298,6.9,15.4,.446,.446,8.1,10.6,.766,2.5,2.9,5.4,4.0,1.5,1.0,5.0,3.5,26.7,102,115,,1996-1997
Vin Baker,25,MIL,PF,78,78,3159,10.7,21.2,.505,0.3,0.9,.278,10.5,20.3,.515,.511,6.1,8.8,.687,4.5,9.1,13.6,3.6,1.4,1.9,4.2,4.7,27.8,108,106,"AS,NBA3",1996-1997
Grant Hill,24,DET,SF,80,80,3147,11.3,22.7,.496,0.2,0.6,.303,11.1,22.1,.502,.500,8.1,11.4,.711,2.2,10.8,13.0,10.5,2.6,0.9,4.7,3.4,30.9,114,100,"MVP-3,AS,NBA1",1996-1997
