Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot_1,PGA,And1,Blkd,Awards,Year,Off._1
Glen Rice,29,CHH,SF,79,78,3362,0,4,90,6,0,4.3,4.2,63,28,79,24,182,348,43,54,"MVP-5,AS,NBA2",1996-1997,
Latrell Sprewell,26,GSW,SG,80,79,3353,3,85,12,0,0,-4.7,10.7,156,70,66,18,213,1107,54,73,AS,1996-1997,
Juwan Howard,23,WSB,SF,82,82,3324,0,2,61,36,0,2.4,-2.7,101,44,87,38,160,659,36,83,,1996-1997,
Damon Stoudamire,23,TOR,PG,81,81,3311,98,2,0,0,0,-3.6,-1.4,141,79,62,6,113,1605,23,91,,1996-1997,
Gary Payton,28,SEA,PG,82,82,3213,91,9,0,0,0,11.0,8.3,119,41,64,15,130,1323,38,80,"MVP-6,DPOY-2,AS,NBA2",1996-1997,
Kendall Gill,28,NJN,SF,82,81,3199,0,36,64,0,0,-1.7,8.1,88,46,92,29,197,724,46,124,,1996-1997,
Chris Mills,27,CLE,SF,80,79,3167,0,8,89,3,0,4.5,9.1,59,21,80,14,74,440,13,46,,1996-1997,
Jerry Stackhouse,22,PHI,SG,81,81,3166,0,73,26,0,0,-7.6,0.0,110,93,70,28,253,544,37,92,,1996-1997,
Vin Baker,25,MIL,PF,78,78,3159,0,0,0,42,58,-1.3,3.7,89,74,124,32,226,474,65,105,"AS,NBA3",1996-1997,
Grant Hill,24,DET,SF,80,80,3147,0,3,91,5,0,7.3,1.6,120,57,70,34,264,1424,68,63,"MVP-3,AS,NBA1",1996-1997,
Anthony Mason,30,CHH,PF,73,73,3143,0,0,8,91,1,3.7,0.2,80,25,100,20,185,977,56,66,"MVP-9,NBA3",1996-1997,
Christian Laettner,27,ATL,PF,82,82,3140,0,0,0,79,21,11.4,20.2,80,45,97,30,190,523,45,67,AS,1996-1997,
Tim Hardaway,30,MIA,PG,81,81,3136,100,0,0,0,0,8.7,11.7,147,45,62,7,89,1574,22,40,"MVP-4,AS,NBA1",1996-1997,
Tom Gugliotta,27,MIN,PF,81,81,3131,0,0,0,78,22,-2.1,-4.8,149,66,134,26,212,715,35,108,"MVP-17,AS",1996-1997,
Doug Christie,26,TOR,SG,81,81,3127,3,81,16,0,0,-2.6,3.6,93,44,93,18,111,720,22,81,,1996-1997,
Mitch Richmond,31,SAC,SG,81,81,3125,2,91,7,0,0,-3.0,6.8,122,46,92,12,199,715,53,90,"MVP-13,AS,NBA2",1996-1997,
Glenn Robinson,24,MIL,SF,80,79,3114,0,0,82,18,0,-2.5,-2.0,110,79,135,11,122,535,28,84,,1996-1997,
Michael Jordan,33,CHI,SG,82,82,3106,5,87,7,0,0,13.3,8.0,85,41,65,9,221,793,45,49,"MVP-2,DPOY-5,AS,NBA1",1996-1997,
Scottie Pippen,31,CHI,SF,82,82,3095,0,8,86,7,0,13.4,8.1,115,40,75,18,114,1024,36,46,"MVP-11,DPOY-4,AS,NBA2",1996-1997,
Joe Smith,21,GSW,PF,80,80,3086,0,0,1,79,20,-4.7,7.7,75,56,141,14,159,279,30,91,,1996-1997,
Kenny Anderson,26,POR,PG,82,81,3081,100,0,0,0,0,5.6,4.0,110,42,83,16,144,1317,38,80,,1996-1997,
Clifford Robinson,30,POR,SF,81,79,3077,0,0,90,10,0,4.6,-0.6,76,34,121,7,126,566,36,61,,1996-1997,
Mookie Blaylock,29,ATL,PG,78,78,3056,100,0,0,0,0,10.7,16.5,142,26,58,4,50,1040,9,25,DPOY-3,1996-1997,
Mark Jackson,31,2TM,PG,82,82,3054,93,7,0,0,0,-2.8,3.3,212,36,50,12,60,2064,10,49,,1996-1997,
Mark Jackson,31,DEN,PG,52,52,2001,99,1,0,0,0,-4.9,5.2,128,25,32,9,41,1415,7,32,,1996-1997,
Mark Jackson,31,IND,PG,30,30,1053,82,18,0,0,0,1.3,-0.3,84,11,18,3,19,649,3,17,,1996-1997,
Allen Iverson,21,PHI,PG,76,74,3045,100,0,0,0,0,-7.8,-0.9,174,78,88,19,180,1199,40,105,"MVP-17,ROY-1",1996-1997,
Lindsey Hunter,26,DET,PG,82,76,3023,100,0,0,0,0,5.5,-6.3,48,14,77,12,75,347,14,32,,1996-1997,
Kerry Kittles,22,NJN,SG,82,57,3012,23,77,1,0,0,-3.4,-0.4,55,31,70,10,85,554,22,53,ROY-5,1996-1997,
Karl Malone,33,UTA,PF,82,82,2998,0,0,3,77,20,11.7,21.9,149,18,96,28,296,778,87,78,"MVP-1,AS,NBA1",1996-1997,
Eddie Jones,25,LAL,SG,80,80,2998,1,70,28,0,0,3.9,-0.3,88,16,72,17,109,580,18,74,AS,1996-1997,
Rod Strickland,30,WSB,PG,82,81,2997,95,5,0,0,0,3.2,1.4,164,48,59,21,201,1542,61,62,,1996-1997,
Kevin Garnett,20,MIN,SF,77,77,2995,0,0,57,42,1,2.7,15.0,61,32,104,9,105,520,22,42,AS,1996-1997,
David Wesley,26,BOS,PG,74,73,2991,80,20,0,0,0,-7.4,2.8,143,29,98,12,113,1199,24,59,,1996-1997,
Dikembe Mutombo,30,ATL,C,80,80,2973,0,0,0,0,100,8.5,6.2,34,37,123,30,169,259,32,58,"MVP-13,DPOY-1,AS",1996-1997,
Antoine Walker,20,BOS,PF,82,68,2970,0,0,19,61,20,-9.3,-4.8,118,27,129,16,158,587,40,118,ROY-4,1996-1997,
Reggie Miller,31,IND,SG,81,81,2966,7,84,9,0,0,0.8,-2.8,85,31,48,14,149,569,37,36,,1996-1997,
Clarence Weatherspoon,26,PHI,SF,82,82,2949,0,0,50,49,1,-8.8,-4.7,50,36,115,7,118,320,20,80,,1996-1997,
Dale Ellis,36,DEN,SF,82,51,2940,0,20,79,1,0,-9.2,-6.5,67,19,61,17,86,373,12,46,,1996-1997,
Nick Van Exel,25,LAL,PG,79,79,2937,100,0,0,0,0,3.5,-1.6,155,23,37,5,59,1471,10,39,,1996-1997,
Joe Dumars,33,DET,SG,79,79,2923,17,83,0,0,0,5.9,-3.8,93,20,27,2,73,719,16,25,"DPOY-6,AS",1996-1997,
John Stockton,34,UTA,PG,82,82,2896,100,0,0,0,0,8.7,7.6,189,27,64,14,80,1771,23,40,"MVP-15,AS,NBA3",1996-1997,
Olden Polynice,32,SAC,C,82,82,2893,0,0,0,7,93,-4.1,1.0,63,41,120,19,109,400,19,76,,1996-1997,
Patrick Ewing,34,NYK,C,78,78,2887,0,0,0,0,100,6.2,7.4,93,71,120,27,244,371,55,58,"MVP-8,AS,NBA2",1996-1997,
Charles Oakley,33,NYK,PF,80,80,2873,0,0,1,74,25,2.9,-4.6,105,15,154,13,77,491,19,23,,1996-1997,
Terrell Brandon,26,CLE,PG,78,78,2868,100,0,0,0,0,2.6,0.1,89,46,74,8,78,1080,14,20,AS,1996-1997,
Hakeem Olajuwon,34,HOU,C,78,78,2852,0,0,0,0,100,7.0,7.4,113,72,140,19,186,590,48,89,"MVP-7,AS,NBA1",1996-1997,
Vlade Divac,28,CHH,C,81,80,2840,0,0,0,0,100,6.4,9.8,105,26,148,16,104,688,21,59,,1996-1997,
Loy Vaught,28,LAC,PF,82,82,2838,0,0,0,69,31,-7.7,-15.5,60,22,102,21,74,255,17,46,,1996-1997,
Jim Jackson,26,2TM,SG,77,77,2831,2,52,45,1,0,-7.5,-3.2,113,30,94,16,108,692,22,77,,1996-1997,
Jim Jackson,26,DAL,SG,46,46,1676,3,87,10,0,0,-10.4,-5.3,62,5,52,9,55,342,13,39,,1996-1997,
Jim Jackson,26,NJN,SF,31,31,1155,0,2,96,2,0,-3.4,-0.1,51,25,42,7,53,350,9,38,,1996-1997,
Steve Smith,27,ATL,SG,72,72,2818,0,91,10,0,0,8.0,3.7,77,34,68,20,121,708,21,44,MVP-17,1996-1997,
