Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
Glen Rice,29,CHH,SF,79,78,3362,.477,14.2,.709,.332,.067,.138,.171,.291,.480,.475,.471,.459,.510,.470,.742,.913,.055,83,.136,.633,0,0,"MVP-5,AS,NBA2",1996-1997
Latrell Sprewell,26,GSW,SG,80,79,3353,.449,13.7,.713,.305,.127,.136,.144,.287,.488,.641,.435,.381,.313,.354,.442,.639,.033,46,.041,.235,1,0,AS,1996-1997
Juwan Howard,23,WSB,SF,82,82,3324,.486,9.9,.998,.312,.202,.372,.112,.002,.487,.593,.423,.415,.544,.000,.616,,.059,76,.000,,0,0,,1996-1997
Damon Stoudamire,23,TOR,PG,81,81,3311,.401,15.3,.647,.251,.111,.145,.141,.353,.426,.476,.385,.373,.424,.355,.222,.347,.000,0,.046,.217,1,1,,1996-1997
Gary Payton,28,SEA,PG,82,82,3213,.476,11.8,.744,.456,.129,.081,.078,.256,.533,.614,.387,.425,.409,.313,.348,.714,.005,8,.189,.347,1,0,"MVP-6,DPOY-2,AS,NBA2",1996-1997
Kendall Gill,28,NJN,SF,82,81,3199,.443,13.3,.849,.350,.070,.168,.260,.151,.462,.566,.294,.316,.463,.336,.568,.946,.036,49,.136,.300,1,0,,1996-1997
Chris Mills,27,CLE,SF,80,79,3167,.453,14.5,.754,.252,.111,.148,.244,.246,.473,.556,.444,.394,.450,.391,.705,.919,.025,22,.118,.346,2,0,,1996-1997
Jerry Stackhouse,22,PHI,SG,81,81,3166,.407,13.3,.739,.433,.073,.117,.116,.261,.446,.514,.417,.288,.368,.298,.564,.735,.090,115,.108,.459,1,0,,1996-1997
Vin Baker,25,MIL,PF,78,78,3159,.505,9.0,.957,.472,.221,.172,.093,.043,.515,.608,.460,.335,.509,.278,.592,.733,.090,109,.037,.500,3,0,"AS,NBA3",1996-1997
Grant Hill,24,DET,SF,80,80,3147,.496,11.0,.974,.356,.133,.253,.231,.026,.502,.618,.357,.417,.498,.303,.228,.900,.060,69,.061,.000,1,0,"MVP-3,AS,NBA1",1996-1997
Anthony Mason,30,CHH,PF,73,73,3143,.525,8.5,.996,.641,.131,.155,.069,.004,.526,.509,.454,.555,.754,.333,.438,.000,.018,15,.000,,0,0,"MVP-9,NBA3",1996-1997
Christian Laettner,27,ATL,PF,82,82,3140,.486,11.2,.922,.384,.150,.195,.193,.078,.497,.547,.491,.368,.532,.352,.534,.774,.025,27,.068,.333,3,0,AS,1996-1997
Tim Hardaway,30,MIA,PG,81,81,3136,.415,16.1,.574,.199,.149,.092,.134,.426,.469,.547,.393,.346,.519,.344,.132,.483,.000,0,.053,.387,5,1,"MVP-4,AS,NBA1",1996-1997
Tom Gugliotta,27,MIN,PF,81,81,3131,.442,12.4,.931,.311,.143,.168,.308,.069,.456,.506,.401,.373,.476,.258,.648,.958,.046,58,.086,.250,0,0,"MVP-17,AS",1996-1997
Doug Christie,26,TOR,SG,81,81,3127,.417,15.0,.596,.314,.085,.116,.081,.404,.440,.567,.296,.264,.351,.384,.410,.884,.064,57,.154,.322,0,0,,1996-1997
Mitch Richmond,31,SAC,SG,81,81,3125,.454,15.7,.698,.224,.063,.141,.270,.302,.466,.544,.370,.405,.455,.428,.452,.794,.011,16,.178,.518,0,0,"MVP-13,AS,NBA2",1996-1997
Glenn Robinson,24,MIL,SF,80,79,3114,.465,12.9,.875,.220,.136,.339,.179,.125,.482,.511,.398,.458,.554,.350,.512,.794,.031,40,.050,.444,1,0,,1996-1997
Michael Jordan,33,CHI,SG,82,82,3106,.486,14.4,.843,.180,.077,.304,.283,.157,.507,.524,.476,.492,.521,.374,.502,.739,.027,49,.057,.412,0,0,"MVP-2,DPOY-5,AS,NBA1",1996-1997
Scottie Pippen,31,CHI,SF,82,82,3095,.474,14.5,.690,.286,.081,.151,.171,.310,.522,.596,.459,.451,.491,.368,.593,.705,.045,60,.068,.345,2,0,"MVP-11,DPOY-4,AS,NBA2",1996-1997
Joe Smith,21,GSW,PF,80,80,3086,.454,10.7,.964,.291,.230,.242,.200,.036,.461,.548,.426,.412,.436,.261,.642,.917,.073,80,.065,.333,0,0,,1996-1997
Kenny Anderson,26,POR,PG,82,81,3081,.427,13.8,.678,.373,.087,.106,.112,.322,.458,.521,.303,.364,.457,.361,.184,.538,.000,0,.022,.125,0,0,,1996-1997
Clifford Robinson,30,POR,SF,81,79,3077,.426,14.0,.664,.213,.204,.154,.093,.336,.466,.577,.390,.398,.495,.346,.610,.934,.036,34,.066,.261,2,0,,1996-1997
Mookie Blaylock,29,ATL,PG,78,78,3056,.432,17.8,.479,.213,.040,.060,.167,.521,.505,.595,.391,.319,.482,.366,.339,.566,.003,2,.156,.436,2,0,DPOY-3,1996-1997
Mark Jackson,31,2TM,PG,82,82,3054,.426,13.0,.738,.362,.200,.106,.069,.262,.445,.508,.419,.403,.255,.371,.274,.803,.000,0,.011,.000,5,0,,1996-1997
Mark Jackson,31,DEN,PG,52,52,2001,.425,13.2,.732,.325,.210,.117,.080,.268,.435,.524,.400,.340,.306,.397,.299,.813,.000,0,.017,.000,4,0,,1996-1997
Mark Jackson,31,IND,PG,30,30,1053,.427,12.8,.749,.436,.181,.084,.048,.251,.465,.485,.463,.579,.091,.316,.228,.778,.000,0,.000,,1,0,,1996-1997
Allen Iverson,21,PHI,PG,76,74,3045,.416,14.3,.697,.418,.068,.106,.104,.303,.448,.474,.485,.319,.452,.341,.274,.568,.023,34,.068,.516,4,0,"MVP-17,ROY-1",1996-1997
Lindsey Hunter,26,DET,PG,82,76,3023,.404,17.1,.551,.199,.047,.131,.174,.449,.444,.531,.429,.358,.414,.355,.396,.892,.011,11,.267,.392,1,0,,1996-1997
Kerry Kittles,22,NJN,SG,82,57,3012,.426,15.6,.648,.258,.078,.109,.202,.352,.453,.586,.344,.331,.392,.377,.628,.829,.047,55,.091,.368,1,0,ROY-5,1996-1997
Karl Malone,33,UTA,PF,82,82,2998,.550,10.6,.992,.402,.089,.238,.262,.008,.555,.685,.443,.396,.536,.000,.777,,.043,65,.000,,1,0,"MVP-1,AS,NBA1",1996-1997
Eddie Jones,25,LAL,SG,80,80,2998,.438,14.5,.640,.375,.072,.093,.100,.360,.464,.541,.423,.267,.389,.391,.567,.822,.072,69,.154,.517,0,0,AS,1996-1997
Rod Strickland,30,WSB,PG,82,81,2997,.466,10.4,.930,.483,.133,.195,.119,.070,.488,.541,.415,.421,.466,.169,.233,.538,.002,2,.026,.000,2,0,,1996-1997
Kevin Garnett,20,MIN,SF,77,77,2995,.499,10.8,.981,.278,.212,.270,.221,.019,.503,.627,.442,.451,.469,.286,.737,1.000,.095,98,.048,.000,0,0,AS,1996-1997
David Wesley,26,BOS,PG,74,73,2991,.468,14.8,.706,.418,.027,.071,.191,.294,.513,.467,.346,.507,.640,.360,.371,.660,.001,1,.140,.525,0,0,,1996-1997
Dikembe Mutombo,30,ATL,C,80,80,2973,.527,6.7,1.000,.509,.359,.114,.019,.000,.527,.635,.467,.268,.286,,.471,,.209,146,,,0,0,"MVP-13,DPOY-1,AS",1996-1997
Antoine Walker,20,BOS,PF,82,68,2970,.425,10.5,.883,.621,.121,.078,.063,.117,.438,.429,.518,.387,.447,.327,.462,.923,.063,84,.157,.320,0,0,ROY-4,1996-1997
Reggie Miller,31,IND,SG,81,81,2966,.444,17.8,.569,.148,.044,.134,.243,.431,.456,.549,.382,.347,.474,.427,.598,.808,.006,8,.114,.361,2,0,,1996-1997
Clarence Weatherspoon,26,PHI,SF,82,82,2949,.491,10.1,.993,.419,.159,.218,.196,.007,.493,.550,.481,.356,.535,.167,.660,1.000,.092,75,.000,,0,0,,1996-1997
Dale Ellis,36,DEN,SF,82,51,2940,.414,18.3,.541,.145,.034,.050,.312,.459,.457,.557,.590,.362,.412,.364,.782,.932,.003,3,.150,.329,0,0,,1996-1997
Nick Van Exel,25,LAL,PG,79,79,2937,.402,16.5,.565,.252,.085,.102,.126,.435,.420,.454,.418,.364,.400,.378,.259,.458,.007,6,.058,.519,4,0,,1996-1997
Joe Dumars,33,DET,SG,79,79,2923,.440,17.4,.561,.091,.096,.232,.142,.439,.446,.350,.417,.448,.524,.432,.247,.843,.000,0,.138,.396,0,0,"DPOY-6,AS",1996-1997
John Stockton,34,UTA,PG,82,82,2896,.548,13.2,.763,.356,.082,.123,.203,.237,.587,.681,.435,.473,.552,.422,.468,.526,.000,0,.039,.571,0,0,"MVP-15,AS,NBA3",1996-1997
Olden Polynice,32,SAC,C,82,82,2893,.457,8.8,.994,.326,.384,.210,.074,.006,.460,.562,.456,.365,.306,.000,.633,,.050,43,.833,.000,0,0,,1996-1997
Patrick Ewing,34,NYK,C,78,78,2887,.488,9.3,.993,.341,.273,.271,.107,.007,.490,.550,.529,.409,.403,.222,.655,1.000,.065,87,.333,.000,0,0,"MVP-8,AS,NBA2",1996-1997
